,Number,Merge,Text Content,Document,Codes,id
0,1:1,1,involvement and participation of citizens and stake- holders in the sustainable urban mobility planning pro- cess is necessary in order to obtain public legitimacy and create a plan that satisfies the mobility needs of people.,Aachen-SUMP-Partizipation-2016.pdf,"citizens and wider public, increase user acceptance / legitimacy, non defined stakeholders, ",Aachen-SUMP-Partizipation-2016.pdf_1
1,1:2,1,"Aachen (Germany), Gdynia (Poland), Koprivnica (Croatia) and Palma (Spain) test innovative participation 2.0 tools, referred to as mobility 2.0 tools within the framework of the DYN@MO project, to support the preparation and implementation of their Sustainable Urban Mobility Plans (SUMPs). ",Aachen-SUMP-Partizipation-2016.pdf,"increase user acceptance / legitimacy, online_questionnaire_zurvey, ",Aachen-SUMP-Partizipation-2016.pdf_1
2,1:4,2,"The involvement of citizens obliges transport and urban planners to explain, often, very complex planning issues in everyday language and use methods that citizens un- derstand. It is also important for the city to get feedback at an early stage and to get to know the topics which may be controversial.",Aachen-SUMP-Partizipation-2016.pdf,citizens and wider public,Aachen-SUMP-Partizipation-2016.pdf_2
3,1:5,2,"This is a good example of how projects “coming from above” may fail to be successful. Instead, a broad agreement, with the help of public participation, has to be reached with regard to the need for major changes to get wider acceptance and public support",Aachen-SUMP-Partizipation-2016.pdf,"increase user acceptance / legitimacy, ",Aachen-SUMP-Partizipation-2016.pdf_2
4,1:6,2,"A mobility vision for the year 2050 in Aachen was formulated by different parti- cipants involved in the process such as politicians, city officials and different stakeholder groups in 2012-2013",Aachen-SUMP-Partizipation-2016.pdf,"decision-makers / political authorities, envisioning / common ground, non defined stakeholders, scenario development, ",Aachen-SUMP-Partizipation-2016.pdf_2
5,1:7,3,"To make the vision easily understandable, the compo- nents of the vision were visualised with 36 attractive pos- ters. The posters, together with a video, explaining the reasons for developing a SUMP, were presented to the public in a citizens’ workshop taking place in a large mar- quee near a popular pedestrian zone. Citizens had the opportunity to read the vision and make concrete pro- posals on measures and express their opinions, which were collected on the partition walls. The leaders of the 8 commissions were available to discuss with the citizens.",Aachen-SUMP-Partizipation-2016.pdf,"citizen workshop / citizen forum, citizens and wider public, feedback / discussion, scenario development, visualisation methods",Aachen-SUMP-Partizipation-2016.pdf_3
6,1:8,4,"In order to motivate more people to participate in the SUMP process, especially people who were not able to attend the citizen workshop or who usually do not take part in such events, Aachen utilised a participation 2.0 method to complement the traditional participation approach. An online questionnaire, where people could express their opinions and evaluate the visions, was opened for three weeks after the public event. The video served as an invitation to citizens to participate. Further- more, the 36 posters were also available as online ver- sions.",Aachen-SUMP-Partizipation-2016.pdf,"citizens and wider public, feedback / discussion, online_questionnaire_zurvey",Aachen-SUMP-Partizipation-2016.pdf_4
7,1:9,5,"he video served as an invitation to citizens to participate. Further- more, the 36 posters were also available as online ver- sions.
Photo: City of Aachen/Jens Stachowitz
An introduction page explained the background of the SUMP process, the aims of the survey and the intentions to develop concrete mobility measures at a later stage.",Aachen-SUMP-Partizipation-2016.pdf,"citizens and wider public, communication / transparency, online communication, ",Aachen-SUMP-Partizipation-2016.pdf_5
8,1:10,6,EXPERIENCES FROM THE CIVITAS DYN@MO PROJECT,Aachen-SUMP-Partizipation-2016.pdf,"researchers, ",Aachen-SUMP-Partizipation-2016.pdf_6
9,5:1,1,"as Beteiligungskonzept nahm im gesamten Prozess der Erarbeitung des Mobilitätskonzep- tes einen wichtigen Stellenwert ein. Den ersten Schritt stellte dabei die Entwicklung einer eigenen „Dachmarke“ dar, die für die Öffentlichkeit als Erinnerungsmerkmal zu Themen in- nerhalb des Mobilitätskonzeptes immer wieder verwendet wurde. Insbesondere für die Wer- bung der offenen Bürgerbeteiligungen konnte das Logo, auf Kugelschreibern oder Fahrrad- sattelschützern gedruckt, dienen.",Bergisch-Gladbach-Mobilitätskonzept-2016.pdf,"citizens and wider public, increase user acceptance / legitimacy, press / marketing / public relations / communication",Bergisch-Gladbach-Mobilitätskonzept-2016.pdf_1
10,5:2,2,"Grundlegend wurden drei Beteiligungsgruppen gebildet: 1. Interne Mitarbeiterinnen und Mit- arbeiter, 2. Akteure Mobilität und 3. Bürgerinnen und Bürger. Schon im ersten Arbeitsschritt der Bestandsaufnahme wurden diese drei Gruppen in Form eines Workshops mit Arbeits- gruppentischen oder einer offenen Bürgerbeteiligung mit „Marktständen“ beteiligt. Zu ver- schiedenen Themenschwerpunkten hatten die Beteiligten die Möglichkeit ihre Anregungen zu den Chancen und Mängeln in Bezug auf die Mobilität in Bergisch Gladbach anzubringen.",Bergisch-Gladbach-Mobilitätskonzept-2016.pdf,"citizens and wider public, feedback / discussion, municipal employees / members of the public administration, non defined stakeholders, stalls / market fairs, working group",Bergisch-Gladbach-Mobilitätskonzept-2016.pdf_2
11,5:3,2,"weiteren Verlauf wurden Arbeitsgruppen mit maximal sieben fachbezogen arbeitenden Mit- arbeiterinnen und Mitarbeitern gebildet, die insbesondere bei der Entwicklung der konkreten Maßnahmen einbezogen wurden",Bergisch-Gladbach-Mobilitätskonzept-2016.pdf,"municipal employees / members of the public administration, working group",Bergisch-Gladbach-Mobilitätskonzept-2016.pdf_2
12,5:4,3,"Bei der Maßnahmenentwicklung wurde die Bürgerbeteili- gung ausgeweitet und es wurde nicht nur ein Termin zur Information und Diskussion über die Maßnahmen des Mobilitätskonzeptes angeboten, sondern fünf Termine in verschiedenen Stadtteilen. Mit diesem breit angelegten Ansatz sollte gewährleistet werden, dass jede Bür- gerin und jeder Bürger die Möglichkeit erhält sich zu beteiligen und Anregungen und Kritik zu äußern.",Bergisch-Gladbach-Mobilitätskonzept-2016.pdf,"citizens and wider public, exhibition / event / presentation, feedback / discussion, ",Bergisch-Gladbach-Mobilitätskonzept-2016.pdf_3
13,5:5,4,"Stand 22.08.2016
Stadt Bergisch Gladbach
VVII-2 Stadtentwicklung | Strategische Verkehrsentwicklung
Kooperationspartner
Verkehrsverbund Rhein-Sieg (VRS) Glockengasse 37-39
50667 Köln
Büro für Verkehrs- und Stadtplanung BVS Rödel & Pachan Kirchhoffstraße 80
47475 Kamp-Lintfort",Bergisch-Gladbach-Mobilitätskonzept-2016.pdf,"consultants, municipal employees / members of the public administration, networks and associations, ",Bergisch-Gladbach-Mobilitätskonzept-2016.pdf_4
14,6:1,1,"Wie im bisherigen Prozess der Erstellung des StEP Verkehr nutzt die Senatsverwaltung bewähr- te Strukturen der Stakeholder*innen-Beteiligung. So wird auch die zweite Fortschreibung durch den „Runden Tisch Mobilität und Verkehr“ begleitet. Der Runde Tisch bringt regelmäßig Vertre- ter*innen der politischen Fraktionen im Abgeordnetenhaus, der Bezirke, der Wissenschaft, aus Verbänden sowie verschiedenen Interessengruppen mit ihren stadt- und verkehrspolitischen Positionen zusammen",Berlin-VEP-beteiligung-2021.pdf,"Committees representing public interests, envisioning / common ground, networks and associations, non defined stakeholders, political actors / district committees, round table, ",Berlin-VEP-beteiligung-2021.pdf_1
15,6:2,2,"Zusätzlich zu dieser konstanten Beteiligung von Interessensvertretungen wurde bei der zweiten Fortschreibung entschieden, auch die Perspektiven der Berliner*innen und Bewohner*innen des Umlandes in die Entwicklung des Leitbildes für 2050 mit einzubeziehen. Ihre Vorstellungen von einer zukünftigen Mobilität sollten ebenfalls Berücksichtigung finden. Aus diesem Grund wurde das nexus Institut als neutraler Durchführungsträger von der Senatsverwaltung für Umwelt, Verkehr und Klimaschutz beauftragt, zu Beginn des Jahres 2018 drei Beteiligungsver- anstaltungen nach der Methode der Fokusgruppen durchzuführen",Berlin-VEP-beteiligung-2021.pdf,"citizens and wider public, envisioning / common ground, focus group, scenario development",Berlin-VEP-beteiligung-2021.pdf_2
16,6:3,3,"iel der Beteiligung war es, der zuständigen Senatsverwaltung die Vielfalt an bestehenden Perspektiven der Bewohner*innen des urbanen sowie metropolräumlichen Berlins zum Thema Mobilität und Lebensqualität in der Stadt aufzuzeigen. Dabei sollten Personen mit verschie- denen Ausgangslagen und Mobilitätsverhalten zu Wort kommen, so dass ein guter Überblick über die unterschiedlichen Mobilitätsbedürfnisse der Berliner*innen sowie Personen aus dem Umland entsteht. Des Weiteren war es Ziel, Konsense und Kontroversen im Meinungsbild der Teilnehmenden zum zukünftigen Stadtverkehr herauszufiltern. Insgesamt soll die Fortschrei- bung des StEP Verkehr auf großmaßstäblicher Ebene diskutiert und eine Zukunftsversion für den gesamtstädtischen Verkehr erörtert werden.",Berlin-VEP-beteiligung-2021.pdf,"citizens and wider public, envisioning / common ground, focus group",Berlin-VEP-beteiligung-2021.pdf_3
17,6:4,4,EINBEZIEHUNG WEITERER FACHLEUTE IN DEN WORKSHOPS ZUM STADTENTWICKLUNGSPLAN MOBILITÄT UND VERKEHR,Berlin-VEP-beteiligung-2021.pdf,"decision-makers / political authorities, expert forum / expert workshop, municipal employees / members of the public administration, social organisations / public interest groups, ",Berlin-VEP-beteiligung-2021.pdf_4
18,6:5,4,STAKEHOLDER*INNEN-BETEILIGUNG ÜBER DEN RUNDEN TISCH ZUM STADTENTWICKLUNGSPLAN MOBILITÄT UND VERKEHR UND EINBEZIE- HUNG WEITERER FACHLEUTE IN DEN WORKSHOPS,Berlin-VEP-beteiligung-2021.pdf,"decision-makers / political authorities, networks and associations, private business / economy, round table, social organisations / public interest groups, ",Berlin-VEP-beteiligung-2021.pdf_4
